GENE_symbol	DRUG_name	DRUG_type
TOP2A	Valrubicin	approved
CHRM1	Procyclidine	approved
CHRM3	Procyclidine	approved
CHRM2	Procyclidine	approved
CHRM4	Procyclidine	approved
ADRA1A	Phenylephrine	approved
ADRA1B	Phenylephrine	approved
ADRA1D	Phenylephrine	approved
TPO	Carbimazole	approved
ATP1A1	Digoxin	approved
DRD2	Sulpiride	approved
GRIN3A	Ethopropazine	approved
CHRM1	Ethopropazine	approved
CACNA1D	Nimodipine	approved
CACNB1	Nimodipine	approved
CACNB4	Nimodipine	approved
CACNA1F	Nimodipine	approved
CACNA1S	Nimodipine	approved
CACNB3	Nimodipine	approved
CACNA1C	Nimodipine	approved
CACNB2	Nimodipine	approved
NR3C1	Beclomethasone dipropionate	approvedinvestigational
PGR	Progesterone	approvedvet_approved
ESR1	Progesterone	approvedvet_approved
NR3C2	Progesterone	approvedvet_approved
ADRA2A	Phenylpropanolamine	approvedvet_approvedwithdrawn
ADRA1A	Phenylpropanolamine	approvedvet_approvedwithdrawn
BRAF	Sorafenib	approvedinvestigational
KDR	Sorafenib	approvedinvestigational
KIT	Sorafenib	approvedinvestigational
FGFR1	Sorafenib	approvedinvestigational
FLT1	Sorafenib	approvedinvestigational
FLT4	Sorafenib	approvedinvestigational
PDGFRB	Sorafenib	approvedinvestigational
FLT3	Sorafenib	approvedinvestigational
RET	Sorafenib	approvedinvestigational
RAF1	Sorafenib	approvedinvestigational
GGPS1	Zoledronic acid	approved
FDPS	Zoledronic acid	approved
CACNA1D	Nisoldipine	approved
CACNB2	Nisoldipine	approved
CACNA1S	Nisoldipine	approved
CACNA2D1	Nisoldipine	approved
CACNA1C	Nisoldipine	approved
GABRG1	Eszopiclone	approved
GABRA1	Eszopiclone	approved
GABRA3	Eszopiclone	approved
GABRB2	Eszopiclone	approved
GABRA6	Eszopiclone	approved
GABRG2	Eszopiclone	approved
GABRG3	Eszopiclone	approved
GABRD	Eszopiclone	approved
GABRA5	Eszopiclone	approved
GABRA1	Eszopiclone	approved
GABRQ	Eszopiclone	approved
GABRP	Eszopiclone	approved
GABRB1	Eszopiclone	approved
GABRE	Eszopiclone	approved
TSPO	Eszopiclone	approved
GABRA4	Eszopiclone	approved
GABRB3	Eszopiclone	approved
GABRA2	Eszopiclone	approved
CCKAR	Ceruletide	approved
GABRA5	Alprazolam	approvedillicitinvestigational
GABRA3	Alprazolam	approvedillicitinvestigational
GABRG2	Alprazolam	approvedillicitinvestigational
GABRA6	Alprazolam	approvedillicitinvestigational
GABRA4	Alprazolam	approvedillicitinvestigational
GABRG1	Alprazolam	approvedillicitinvestigational
GABRB2	Alprazolam	approvedillicitinvestigational
GABRP	Alprazolam	approvedillicitinvestigational
GABRQ	Alprazolam	approvedillicitinvestigational
GABRA1	Alprazolam	approvedillicitinvestigational
GABRE	Alprazolam	approvedillicitinvestigational
GABRA2	Alprazolam	approvedillicitinvestigational
GABRD	Alprazolam	approvedillicitinvestigational
GABRB3	Alprazolam	approvedillicitinvestigational
GABRG3	Alprazolam	approvedillicitinvestigational
GABRB1	Alprazolam	approvedillicitinvestigational
HRH1	Dexbrompheniramine	approved
SERPIND1	Ardeparin	approvedwithdrawn
SERPINC1	Ardeparin	approvedwithdrawn
DRD2	Loxapine	approved
HTR2A	Loxapine	approved
DRD2	Remoxipride	approvedwithdrawn
CHRM1	Carbachol	approved
CHRM2	Carbachol	approved
CHRNA2	Carbachol	approved
PPARG	Rosiglitazone	approvedinvestigational
DRD4	Pramipexole	approvedinvestigational
DRD3	Pramipexole	approvedinvestigational
DRD2	Pramipexole	approvedinvestigational
KCNJ1	Acetohexamide	withdrawn
CHRNA2	Metocurine Iodide	withdrawn
GABRA1	Secobarbital	approvedvet_approved
GABRA4	Secobarbital	approvedvet_approved
GABRA5	Secobarbital	approvedvet_approved
GABRA2	Secobarbital	approvedvet_approved
GABRA3	Secobarbital	approvedvet_approved
GABRA6	Secobarbital	approvedvet_approved
UGCG	Miglustat	approved
DRD2	Promazine	approvedvet_approved
NR3C2	Spironolactone	approved
SLC6A3	Methylphenidate	approvedinvestigational
CHRM2	Hyoscyamine	approved
CHRM1	Hyoscyamine	approved
GABRA1	Zolpidem	approved
HRH1	Triprolidine	approved
PTGER1	Carboprost Tromethamine	approved
GABRB1	Lindane	approvedwithdrawn
TYMS	Trifluridine	approved
DRD2	Prochlorperazine	approvedvet_approved
HRH1	Cyproheptadine	approved
HTR2A	Cyproheptadine	approved
HTR2C	Cyproheptadine	approved
GUCY1A2	Nitric Oxide	approved
SLC12A3	Bendroflumethiazide	approved
KCNMA1	Bendroflumethiazide	approved
XDH	Allopurinol	approved
HMGCR	Cerivastatin	withdrawn
TYMS	Trimethoprim	approvedvet_approved
RRM1	Gemcitabine	approved
NR3C1	Betamethasone	approvedvet_approved
TOP2A	Teniposide	approved
CHD1	Epirubicin	approved
ATP4A	Lansoprazole	approvedinvestigational
ADRA2A	Dipivefrin	approved
ADRB2	Dipivefrin	approved
ADRA1A	Dipivefrin	approved
BCHE	Dipivefrin	approved
DRD2	Droperidol	approvedvet_approved
ADRA1A	Droperidol	approvedvet_approved
THRB	Levothyroxine	approved
THRA	Levothyroxine	approved
OPRK1	Pethidine	approved
HRH1	Loratadine	approved
ADRA1B	Prazosin	approved
ADRA1A	Prazosin	approved
ADRA1D	Prazosin	approved
SLC6A4	Imipramine	approved
SLC6A2	Imipramine	approved
RXRB	Acitretin	approved
RXRA	Acitretin	approved
RARG	Acitretin	approved
RXRG	Acitretin	approved
RARB	Acitretin	approved
RARA	Acitretin	approved
PTGS2	Nabumetone	approved
CHRM1	Methylscopolamine bromide	approved
CHRM2	Methylscopolamine bromide	approved
GABRA2	Metharbital	withdrawn
GABRA5	Metharbital	withdrawn
GABRA3	Metharbital	withdrawn
GABRA6	Metharbital	withdrawn
GABRA4	Metharbital	withdrawn
GABRG3	Metharbital	withdrawn
GABRQ	Metharbital	withdrawn
GABRA6	Metharbital	withdrawn
GABRP	Metharbital	withdrawn
GABRB2	Metharbital	withdrawn
GABRA1	Metharbital	withdrawn
GABRB3	Metharbital	withdrawn
GABRG1	Metharbital	withdrawn
GABRA2	Metharbital	withdrawn
GABRG2	Metharbital	withdrawn
GABRA5	Metharbital	withdrawn
GABRB1	Metharbital	withdrawn
GABRA1	Metharbital	withdrawn
GABRD	Metharbital	withdrawn
GABRE	Metharbital	withdrawn
GABRA4	Metharbital	withdrawn
GABRA3	Metharbital	withdrawn
PROS1	Sodium Tetradecyl Sulfate	approved
PROC	Sodium Tetradecyl Sulfate	approved
PTGS2	Ketorolac	approved
GABRR1	Picrotoxin	experimental
GABRA1	Picrotoxin	experimental
PTGS2	Tenoxicam	approved
CNR1	Dronabinol	approvedillicit
CYSLTR1	Montelukast	approved
SLC6A4	Fluoxetine	approvedvet_approved
SCN5A	Hexylcaine	approvedwithdrawn
GABRA1	Methohexital	approved
GABRA2	Chlordiazepoxide	approvedillicit
GABRA5	Chlordiazepoxide	approvedillicit
GABRP	Chlordiazepoxide	approvedillicit
GABRA3	Chlordiazepoxide	approvedillicit
GABRA1	Chlordiazepoxide	approvedillicit
GABRG3	Chlordiazepoxide	approvedillicit
GABRB2	Chlordiazepoxide	approvedillicit
GABRB3	Chlordiazepoxide	approvedillicit
GABRB1	Chlordiazepoxide	approvedillicit
GABRQ	Chlordiazepoxide	approvedillicit
GABRG1	Chlordiazepoxide	approvedillicit
GABRG2	Chlordiazepoxide	approvedillicit
GABRA4	Chlordiazepoxide	approvedillicit
GABRD	Chlordiazepoxide	approvedillicit
GABRE	Chlordiazepoxide	approvedillicit
GABRA6	Chlordiazepoxide	approvedillicit
SLC6A2	Duloxetine	approved
SLC6A4	Duloxetine	approved
DRD1	Chlorpromazine	approvedvet_approved
ADRA1B	Chlorpromazine	approvedvet_approved
HTR1A	Chlorpromazine	approvedvet_approved
DRD2	Chlorpromazine	approvedvet_approved
ADRA1A	Chlorpromazine	approvedvet_approved
HTR2A	Chlorpromazine	approvedvet_approved
HRH1	Chlorpromazine	approvedvet_approved
TNFSF11	Lenalidomide	approved
CRBN	Lenalidomide	approved
ESR2	Raloxifene	approvedinvestigational
ESR1	Raloxifene	approvedinvestigational
PTGS2	Celecoxib	approvedinvestigational
CHRM2	Gallamine Triethiodide	approved
ACHE	Gallamine Triethiodide	approved
ADRA2B	Brimonidine	approved
ADRA2A	Brimonidine	approved
ADRA2C	Brimonidine	approved
CNR2	Nabilone	approvedinvestigational
CNR1	Nabilone	approvedinvestigational
ADRB2	Sotalol	approved
ADRB1	Sotalol	approved
KCNH2	Sotalol	approved
DRD2	Buspirone	approvedinvestigational
HTR1A	Buspirone	approvedinvestigational
GANAB	Miglitol	approved
GAA	Miglitol	approved
GANC	Miglitol	approved
MGAM	Miglitol	approved
ACE	Fosinopril	approved
COMT	Entacapone	approvedinvestigational
CHRM3	Darifenacin	approvedinvestigational
OPRM1	Oxycodone	approvedillicitinvestigational
OPRD1	Oxycodone	approvedillicitinvestigational
OPRK1	Oxycodone	approvedillicitinvestigational
VKORC1	Phenindione	approved
AR	Flutamide	approved
PTGS2	Tolmetin	approved
HRH2	Cimetidine	approved
DRD2	Haloperidol	approved
OPRM1	Levallorphan	approved
CHRM1	Tridihexethyl	withdrawn
CHRM3	Tridihexethyl	withdrawn
CHRM2	Tridihexethyl	withdrawn
CHRM2	Triflupromazine	approvedvet_approved
CHRM1	Triflupromazine	approvedvet_approved
DRD2	Triflupromazine	approvedvet_approved
DRD1	Triflupromazine	approvedvet_approved
HTR2B	Triflupromazine	approvedvet_approved
THRB	Dextrothyroxine	approved
THRA	Dextrothyroxine	approved
ATP1A1	Acetyldigitoxin	approved
PLG	Aminocaproic Acid	approvedinvestigational
PLAT	Aminocaproic Acid	approvedinvestigational
GRIN3A	Dextromethorphan	approved
SIGMAR1	Dextromethorphan	approved
SIGMAR1	Dextromethorphan	approved
CHRM1	Anisotropine Methylbromide	approved
CHRM2	Anisotropine Methylbromide	approved
CHRM3	Anisotropine Methylbromide	approved
ACE	Trandolapril	approved
ADRB2	Carteolol	approved
ADRB1	Carteolol	approved
HPN	Bentiromide	withdrawn
RXRG	Alitretinoin	approvedinvestigational
RARB	Alitretinoin	approvedinvestigational
RXRB	Alitretinoin	approvedinvestigational
RARA	Alitretinoin	approvedinvestigational
RARG	Alitretinoin	approvedinvestigational
RXRA	Alitretinoin	approvedinvestigational
SLC12A3	Metolazone	approved
SCN5A	Cinchocaine	approvedvet_approved
SCN10A	Cinchocaine	approvedvet_approved
CACNG1	Lercanidipine	approvedinvestigational
NR1I2	Erlotinib	approvedinvestigational
EGFR	Erlotinib	approvedinvestigational
SCN5A	Mephenytoin	investigationalwithdrawn
PTGS2	Rofecoxib	investigationalwithdrawn
SLC12A1	Chlormerodrin	approvedwithdrawn
ESR1	Toremifene	approvedinvestigational
SLC6A2	Nortriptyline	approved
HTR2A	Nortriptyline	approved
SLC6A4	Nortriptyline	approved
TUBB	Vincristine	approvedinvestigational
ACE	Benazepril	approvedinvestigational
SLC6A4	Amoxapine	approved
TYMS	Fluorouracil	approved
ACHE	Pyridostigmine	approved
BCHE	Pyridostigmine	approved
GABRA3	Adinazolam	approved
GABRD	Adinazolam	approved
GABRB3	Adinazolam	approved
GABRB1	Adinazolam	approved
GABRP	Adinazolam	approved
GABRG3	Adinazolam	approved
GABRA1	Adinazolam	approved
GABRG1	Adinazolam	approved
GABRR3	Adinazolam	approved
GABRB2	Adinazolam	approved
GABRA5	Adinazolam	approved
GABRE	Adinazolam	approved
GABRR1	Adinazolam	approved
GABRG2	Adinazolam	approved
GABRA2	Adinazolam	approved
GABRR2	Adinazolam	approved
NR3C1	Desoximetasone	approved
AKR1D1	Azelaic Acid	approved
TYR	Azelaic Acid	approved
SRD5A2	Azelaic Acid	approved
CYSLTR1	Zafirlukast	approvedinvestigational
TPO	Propylthiouracil	approved
ADA	Pentostatin	approvedinvestigational
PTGS2	Piroxicam	approvedinvestigational
HRH1	Hydroxyzine	approved
EDNRA	Bosentan	approvedinvestigational
EDNRB	Bosentan	approvedinvestigational
KCNK3	Doxapram	approvedvet_approved
KCNK9	Doxapram	approvedvet_approved
SLC12A3	Benzthiazide	approved
DHFR	Methotrexate	approved
SCN5A	Carbamazepine	approvedinvestigational
CHRNA2	Cisatracurium besylate	approved
CACNA1S	Cinnarizine	approved
CACNA1I	Cinnarizine	approved
CACNA1H	Cinnarizine	approved
HRH1	Cinnarizine	approved
CACNA1C	Cinnarizine	approved
CACNA1F	Cinnarizine	approved
CACNA1D	Cinnarizine	approved
CACNA1G	Cinnarizine	approved
F10	Fondaparinux sodium	approvedinvestigational
SERPINC1	Fondaparinux sodium	approvedinvestigational
TUBA1A	Vinblastine	approved
TUBG1	Vinblastine	approved
TUBE1	Vinblastine	approved
TUBB	Vinblastine	approved
TUBD1	Vinblastine	approved
ADRB1	Propranolol	approvedinvestigational
CHRM4	Atropine	approvedvet_approved
CHRM1	Atropine	approvedvet_approved
CHRM5	Atropine	approvedvet_approved
CHRM2	Atropine	approvedvet_approved
CHRM3	Atropine	approvedvet_approved
PTGS2	Fenoprofen	approved
HTR2C	Fenfluramine	illicitwithdrawn
SLC6A4	Fenfluramine	illicitwithdrawn
HTR2B	Fenfluramine	illicitwithdrawn
ADRA2C	Clonidine	approved
ADRA2A	Clonidine	approved
ADRA2B	Clonidine	approved
SLC6A3	Mazindol	approved
SLC6A4	Mazindol	approved
SLC6A2	Mazindol	approved
PTGS2	Valdecoxib	investigationalwithdrawn
ACE	Enalapril	approvedvet_approved
HRH2	Nizatidine	approved
ALOX5	Diclofenac	approvedvet_approved
PTGS1	Diclofenac	approvedvet_approved
KCNQ3	Diclofenac	approvedvet_approved
KCNQ2	Diclofenac	approvedvet_approved
SCN4A	Diclofenac	approvedvet_approved
PTGS2	Diclofenac	approvedvet_approved
ASIC1	Diclofenac	approvedvet_approved
CYSLTR1	Cinalukast	approved
NR3C1	Fluticasone Propionate	approved
DRD3	Lisuride	approved
HTR2A	Lisuride	approved
DRD4	Lisuride	approved
DRD2	Lisuride	approved
HTR2C	Lisuride	approved
ADRA1D	Doxazosin	approved
ADRA1A	Doxazosin	approved
ADRA1B	Doxazosin	approved
NR3C1	Fluocinolone Acetonide	approvedinvestigationalvet_approved
GABRB3	Piperazine	approvedvet_approved
CACNA1G	Ethosuximide	approved
SCNN1B	Amiloride	approved
SCNN1D	Amiloride	approved
SCNN1G	Amiloride	approved
SCNN1A	Amiloride	approved
NR3C1	Ulobetasol	approved
ADRA1D	Labetalol	approved
ADRB2	Labetalol	approved
ADRB1	Labetalol	approved
ADRA1B	Labetalol	approved
ADRA1A	Labetalol	approved
GABRA1	Thiopental	approvedvet_approved
GABRA5	Thiopental	approvedvet_approved
GABRA4	Thiopental	approvedvet_approved
GABRA3	Thiopental	approvedvet_approved
GABRA2	Thiopental	approvedvet_approved
GABRA6	Thiopental	approvedvet_approved
GLRA3	Ivermectin	approvedvet_approved
ESR1	Medroxyprogesterone acetate	approvedinvestigational
PGR	Medroxyprogesterone acetate	approvedinvestigational
HTR2A	Cisapride	approvedinvestigationalwithdrawn
HTR4	Cisapride	approvedinvestigationalwithdrawn
HTR3A	Cisapride	approvedinvestigationalwithdrawn
PTGS2	Sulindac	approved
FXYD2	Cyclothiazide	approved
ADRA1A	Metaraminol	approvedinvestigational
OPRK1	Butorphanol	approvedillicitvet_approved
OPRM1	Butorphanol	approvedillicitvet_approved
OPRD1	Butorphanol	approvedillicitvet_approved
ADRB1	Bisoprolol	approved
MME	Candoxatril	experimental
CACNA1I	Paramethadione	approved
BCR/ABL fusion	Imatinib	approved
KIT	Imatinib	approved
RET	Imatinib	approved
NR3C1	Triamcinolone	approvedvet_approved
AR	Oxandrolone	approvedinvestigational
CACNA1D	Nicardipine	approved
CACNA1C	Nicardipine	approved
CACNA2D1	Nicardipine	approved
CACNB2	Nicardipine	approved
DRD1	Fluphenazine	approved
DRD2	Fluphenazine	approved
AR	Testosterone	approvedinvestigational
IDE	Bacitracin	approvedvet_approved
HCAR3	Niacin	approvedinvestigationalnutraceutical
HCAR2	Niacin	approvedinvestigationalnutraceutical
QPRT	Niacin	approvedinvestigationalnutraceutical
NNMT	Niacin	approvedinvestigationalnutraceutical
GABRA6	Clorazepate	approvedillicit
GABRA4	Clorazepate	approvedillicit
GABRA2	Clorazepate	approvedillicit
GABRA3	Clorazepate	approvedillicit
GABRP	Clorazepate	approvedillicit
GABRQ	Clorazepate	approvedillicit
GABRB2	Clorazepate	approvedillicit
GABRG2	Clorazepate	approvedillicit
GABRA1	Clorazepate	approvedillicit
GABRA5	Clorazepate	approvedillicit
GABRB1	Clorazepate	approvedillicit
GABRG3	Clorazepate	approvedillicit
GABRB3	Clorazepate	approvedillicit
GABRD	Clorazepate	approvedillicit
GABRE	Clorazepate	approvedillicit
GABRG1	Clorazepate	approvedillicit
ADRA2A	Guanabenz	approved
FDPS	Alendronic acid	approved
POLA1	Clofarabine	approvedinvestigational
RRM1	Clofarabine	approvedinvestigational
ADRA2A	Dexmedetomidine	approvedvet_approved
NR3C1	Prednisone	approvedvet_approved
PPARA	Clofibrate	approved
HRH1	Astemizole	approvedwithdrawn
ADORA2B	Adenosine	approvedinvestigational
ADORA3	Adenosine	approvedinvestigational
ADORA1	Adenosine	approvedinvestigational
ADORA2A	Adenosine	approvedinvestigational
HMGCR	Simvastatin	approved
DHFR	Pemetrexed	approvedinvestigational
TYMS	Pemetrexed	approvedinvestigational
ATIC	Pemetrexed	approvedinvestigational
GART	Pemetrexed	approvedinvestigational
TUBA1A	Mebendazole	approvedvet_approved
TUBB4B	Mebendazole	approvedvet_approved
GNRHR	Gonadorelin	approvedvet_approved
GNRHR2	Gonadorelin	approvedvet_approved
SCN10A	Dyclonine	approved
OPRD1	Dextropropoxyphene	approvedillicitwithdrawn
OPRM1	Dextropropoxyphene	approvedillicitwithdrawn
OPRK1	Dextropropoxyphene	approvedillicitwithdrawn
CYP11B1	Mitotane	approved
PDE4A	Dyphylline	approved
ADORA2A	Dyphylline	approved
PDE4C	Dyphylline	approved
PDE4B	Dyphylline	approved
PDE7A	Dyphylline	approved
PDE7B	Dyphylline	approved
PDE4D	Dyphylline	approved
ADORA1	Dyphylline	approved
SIGMAR1	Pentazocine	approvedvet_approved
OPRK1	Pentazocine	approvedvet_approved
OPRM1	Pentazocine	approvedvet_approved
PTGFR	Latanoprost	approvedinvestigational
ESR1	Estrone	approved
HTR1A	Trazodone	approvedinvestigational
SLC6A4	Trazodone	approvedinvestigational
HTR2C	Trazodone	approvedinvestigational
HTR2A	Trazodone	approvedinvestigational
CHRNA2	Mecamylamine	approved
GRM5	Acamprosate	approvedinvestigational
GRIN3A	Acamprosate	approvedinvestigational
GABRB2	Acamprosate	approvedinvestigational
GABRE	Acamprosate	approvedinvestigational
GRIN2D	Acamprosate	approvedinvestigational
GRIN3B	Acamprosate	approvedinvestigational
GRIN2C	Acamprosate	approvedinvestigational
GABRQ	Acamprosate	approvedinvestigational
GABRA5	Acamprosate	approvedinvestigational
GABRB1	Acamprosate	approvedinvestigational
GABRD	Acamprosate	approvedinvestigational
GRIN1	Acamprosate	approvedinvestigational
GABRA3	Acamprosate	approvedinvestigational
GRIN2B	Acamprosate	approvedinvestigational
GRIN2A	Acamprosate	approvedinvestigational
GABRG1	Acamprosate	approvedinvestigational
GABRG3	Acamprosate	approvedinvestigational
GABRA1	Acamprosate	approvedinvestigational
GABRP	Acamprosate	approvedinvestigational
GABRG2	Acamprosate	approvedinvestigational
GABRA4	Acamprosate	approvedinvestigational
GABRB3	Acamprosate	approvedinvestigational
GABRA2	Acamprosate	approvedinvestigational
GABRA6	Acamprosate	approvedinvestigational
CACNB4	Verapamil	approved
CACNA1F	Verapamil	approved
CACNB1	Verapamil	approved
CACNA1S	Verapamil	approved
CACNA1D	Verapamil	approved
CACNA1C	Verapamil	approved
CACNB2	Verapamil	approved
CACNB3	Verapamil	approved
NR3C1	Flumethasone	approvedvet_approved
AR	Nilutamide	approved
GNRHR	Nafarelin	approved
GNRHR2	Nafarelin	approved
ADRA1A	Epinephrine	approvedvet_approved
ADRB1	Epinephrine	approvedvet_approved
ADRA2A	Epinephrine	approvedvet_approved
ADRA1B	Epinephrine	approvedvet_approved
ADRA2B	Epinephrine	approvedvet_approved
ADRB2	Epinephrine	approvedvet_approved
HTR1A	Sumatriptan	approvedinvestigational
HTR1B	Sumatriptan	approvedinvestigational
HTR1F	Sumatriptan	approvedinvestigational
HTR1D	Sumatriptan	approvedinvestigational
CHRM1	Pirenzepine	approved
ABCC8	Chlorpropamide	approved
TACR1	Aprepitant	approvedinvestigational
ACHE	Galantamine	approved
ESR2	Tamoxifen	approved
ESR1	Tamoxifen	approved
ACHE	Isoflurophate	approvedwithdrawn
BCHE	Isoflurophate	approvedwithdrawn
AGTR1	Losartan	approved
HTR2A	Thioridazine	approved
ADRA1A	Thioridazine	approved
ADRA1B	Thioridazine	approved
DRD1	Thioridazine	approved
DRD2	Thioridazine	approved
SCN5A	Moricizine	approvedwithdrawn
VKORC1	Warfarin	approved
GABRP	Midazolam	approvedillicit
GABRA3	Midazolam	approvedillicit
GABRA4	Midazolam	approvedillicit
GABRB2	Midazolam	approvedillicit
GABRA6	Midazolam	approvedillicit
GABRR2	Midazolam	approvedillicit
GABRG1	Midazolam	approvedillicit
GABRR1	Midazolam	approvedillicit
GABRG3	Midazolam	approvedillicit
GABRB3	Midazolam	approvedillicit
GABRA1	Midazolam	approvedillicit
GABRB1	Midazolam	approvedillicit
GABRE	Midazolam	approvedillicit
GABRA5	Midazolam	approvedillicit
GABRR3	Midazolam	approvedillicit
GABRG2	Midazolam	approvedillicit
GABRQ	Midazolam	approvedillicit
GABRD	Midazolam	approvedillicit
GABRA2	Midazolam	approvedillicit
FGF1	Pentosan Polysulfate	approved
FGF2	Pentosan Polysulfate	approved
NR3C2	Fludrocortisone	approved
IMPDH2	Mycophenolate mofetil	approvedinvestigational
IMPDH1	Mycophenolate mofetil	approvedinvestigational
GABRG3	Flurazepam	approvedillicit
GABRA6	Flurazepam	approvedillicit
GABRR1	Flurazepam	approvedillicit
GABRP	Flurazepam	approvedillicit
GABRQ	Flurazepam	approvedillicit
GABRB3	Flurazepam	approvedillicit
GABRD	Flurazepam	approvedillicit
GABRB1	Flurazepam	approvedillicit
GABRG1	Flurazepam	approvedillicit
GABRA3	Flurazepam	approvedillicit
GABRA4	Flurazepam	approvedillicit
GABRE	Flurazepam	approvedillicit
GABRR3	Flurazepam	approvedillicit
GABRG2	Flurazepam	approvedillicit
GABRR2	Flurazepam	approvedillicit
GABRA5	Flurazepam	approvedillicit
GABRB2	Flurazepam	approvedillicit
GABRA1	Flurazepam	approvedillicit
GABRA2	Flurazepam	approvedillicit
ACE	Moexipril	approved
ACE2	Moexipril	approved
ADRA2A	Phentolamine	approved
ADRA1A	Phentolamine	approved
TOP2B	Daunorubicin	approved
TOP2A	Daunorubicin	approved
SLC12A1	Furosemide	approvedvet_approved
ADRA1D	Ergotamine	approved
HTR2A	Ergotamine	approved
HTR1D	Ergotamine	approved
HTR1B	Ergotamine	approved
ADRA1A	Ergotamine	approved
ADRA1B	Ergotamine	approved
ADRA2C	Tizanidine	approved
ADRA2B	Tizanidine	approved
ADRA1A	Nicergoline	approved
NR3C2	Eplerenone	approved
CA2	Methazolamide	approved
CA7	Methazolamide	approved
CA4	Methazolamide	approved
CA1	Methazolamide	approved
SIGMAR1	Naltrexone	approvedinvestigationalvet_approved
OPRD1	Naltrexone	approvedinvestigationalvet_approved
OPRK1	Naltrexone	approvedinvestigationalvet_approved
OPRM1	Naltrexone	approvedinvestigationalvet_approved
ADRA1A	Tamsulosin	approvedinvestigational
OPRM1	Sufentanil	approvedinvestigational
FDPS	Ibandronate	approvedinvestigational
ALOX5	Diethylcarbamazine	approvedvet_approved
PTGS2	Flurbiprofen	approvedinvestigational
DRD4	Apomorphine	approvedinvestigational
DRD3	Apomorphine	approvedinvestigational
DRD2	Apomorphine	approvedinvestigational
SLC6A4	Paroxetine	approvedinvestigational
CYSLTR2	Nedocromil	approved
CYSLTR1	Nedocromil	approved
HRH1	Azatadine	approved
SLC25A5	Clodronate	approvedinvestigationalvet_approved
SLC25A6	Clodronate	approvedinvestigationalvet_approved
SLC25A4	Clodronate	approvedinvestigationalvet_approved
GRIN3A	Procaine	approvedinvestigationalvet_approved
HTR3A	Procaine	approvedinvestigationalvet_approved
SCN10A	Procaine	approvedinvestigationalvet_approved
SLC6A3	Procaine	approvedinvestigationalvet_approved
ACE	Lisinopril	approvedinvestigational
ACE2	Lisinopril	approvedinvestigational
ADRA1A	Methoxamine	approved
TLR7	Imiquimod	approvedinvestigational
CHRM3	Homatropine Methylbromide	approved
CHRM4	Homatropine Methylbromide	approved
CHRM2	Homatropine Methylbromide	approved
CHRM5	Homatropine Methylbromide	approved
CHRM1	Homatropine Methylbromide	approved
SLC6A2	Trimipramine	approved
SLC6A4	Trimipramine	approved
NPR1	Nitroglycerin	approvedinvestigational
CHRM2	Rocuronium	approved
CHRNA2	Rocuronium	approved
CHRM3	Diphemanil Methylsulfate	approvedvet_approvedwithdrawn
ABCC8	Nateglinide	approvedinvestigational
CHRNA2	Atracurium besylate	approved
BCHE	Pralidoxime	approvedvet_approved
ACHE	Pralidoxime	approvedvet_approved
HTR2A	Risperidone	approvedinvestigational
DRD2	Risperidone	approvedinvestigational
SQLE	Naftifine	approved
ATP4A	Esomeprazole	approvedinvestigational
HRH1	Meclizine	approved
SLC7A11	Riluzole	approvedinvestigational
SCN5A	Riluzole	approvedinvestigational
ANXA1	Hydrocortisone	approvedvet_approved
NR3C1	Hydrocortisone	approvedvet_approved
ALOX5	Zileuton	approvedinvestigationalwithdrawn
SLC6A3	Modafinil	approvedinvestigational
CHRM1	Scopolamine	approved
HRH1	Carbinoxamine	approved
PTGS2	Etodolac	approvedinvestigationalvet_approved
SCN5A	Prilocaine	approved
HRH1	Epinastine	approvedinvestigational
HRH2	Epinastine	approvedinvestigational
MAOA	Tranylcypromine	approved
MAOB	Tranylcypromine	approved
GABRE	Isoflurane	approvedvet_approved
GABRA6	Isoflurane	approvedvet_approved
GABRQ	Isoflurane	approvedvet_approved
GABRB2	Isoflurane	approvedvet_approved
GABRD	Isoflurane	approvedvet_approved
GLRA1	Isoflurane	approvedvet_approved
KCNA1	Isoflurane	approvedvet_approved
GRIA1	Isoflurane	approvedvet_approved
GABRP	Isoflurane	approvedvet_approved
GABRA1	Isoflurane	approvedvet_approved
GABRA1	Isoflurane	approvedvet_approved
GABRA3	Isoflurane	approvedvet_approved
GABRG1	Isoflurane	approvedvet_approved
GABRG3	Isoflurane	approvedvet_approved
GABRA5	Isoflurane	approvedvet_approved
GABRB1	Isoflurane	approvedvet_approved
GABRB3	Isoflurane	approvedvet_approved
GABRG2	Isoflurane	approvedvet_approved
GABRA4	Isoflurane	approvedvet_approved
ATP2C1	Isoflurane	approvedvet_approved
GABRA2	Isoflurane	approvedvet_approved
SCN5A	Ethotoin	approved
RXRG	Tretinoin	approvedinvestigationalnutraceutical
RARG	Tretinoin	approvedinvestigationalnutraceutical
RXRB	Tretinoin	approvedinvestigationalnutraceutical
SDHD	Hexachlorophene	approvedwithdrawn
HTR3A	Dolasetron	approved
P2RY12	Clopidogrel	approvednutraceutical
TOP1	Irinotecan	approvedinvestigational
TOP1MT	Irinotecan	approvedinvestigational
TPO	Methimazole	approved
NR3C1	Mometasone	approvedvet_approved
TH	Metyrosine	approved
CHRM1	Benzquinamide	withdrawn
CHRM5	Benzquinamide	withdrawn
CHRM2	Benzquinamide	withdrawn
HRH1	Benzquinamide	withdrawn
CHRM3	Benzquinamide	withdrawn
CHRM4	Benzquinamide	withdrawn
