gene	rseq
PHACTR3	NM_080672
OXR1	NM_001198532
CLPX	NM_006660
SSFA2	NM_001130445
ATXN2L	NM_148414
GLO1	NM_006708
TSKU	NM_015516
PVRL3	NM_015480
DENND4B	NM_014856
HACL1	NM_012260
RUFY3	NM_001037442
KCNH4	NM_012285
ARSG	NM_014960
TINAGL1	NM_022164
FAM24B	NM_152644
SPG21	NM_016630
MEX3C	NM_016626
DNAJC5G	NM_173650
SNX6	NM_152233
C20orf197	NM_173644
SYNE3	NM_152592
FA2H	NM_024306
TIA1	NM_022173
RET	NM_020975
METTL14	NM_020961
HIAT1	NM_033055
CLDN1	NM_021101
TCEAL4	NM_024863
KAT2A	NM_021078
ZNF768	NM_024671
SLC22A12	NM_144585
SSBP1	NM_003143
GULP1	NM_016315
FBLN2	NM_001004019
DBT	NM_001918
CCDC74A	NM_138770
OR2T6	NM_001005471
OR4B1	NM_001005470
OR5B3	NM_001005469
OR8B2	NM_001005468
OR8B3	NM_001005467
OR10G2	NM_001005466
OR10G3	NM_001005465
RAD51AP2	NM_001099218
ITGAM	NM_001145808
PGAP2	NM_001256236
PPP1R3B	NM_024607
AQP8	NM_001169
AQP7	NM_001170
CD70	NM_001252
APOC1	NM_001645
NVL	NM_002533
SLC46A2	NM_033051
OPN4	NM_001030015
GOSR2	NM_054022
RBM48	NM_032120
SLC6A16	NM_014037
SNX24	NM_014035
SLC17A3	NM_001098486
CAP1	NM_006367
KLF8	NM_007250
TFDP2	NM_001178139
RASGRP2	NM_153819
SFTPA2	NM_001098668
RNF169	NM_001098638
NUPL2	NM_007342
SCML2	NM_006089
CEPT1	NM_006090
TUBB4B	NM_006088
TUBB4A	NM_006087
TUBB3	NM_006086
SNAI1	NM_005985
FAM169A	NM_015566
PKN1	NM_213560
ANXA2	NM_001002858
MAGED2	NM_014599
POP5	NM_015918
AKIRIN2	NM_018064
ATP6V1D	NM_015994
RHOC	NM_175744
TYW5	NM_001039693
SLC47A2	NM_152908
CLP1	NM_006831
GOLGA6L6	NM_001145004
LYVE1	NM_006691
SUGT1	NM_001130912
PNPLA6	NM_001166111
EPYC	NM_004950
MS4A2	NM_000139
CDK5	NM_004935
DFNB31	NM_015404
GDPD1	NM_182569
ZFAT	NM_020863
BRD7	NM_001173984
C21orf91	NM_001100420
MRPL39	NM_080794
POLE3	NM_017443
ID1	NM_002165
FOXI2	NM_207426
FLJ44635	NM_207422
NME1	NM_198175
C19orf48	NM_199249
GUCA1B	NM_002098
GTF3A	NM_002097
GTF2F1	NM_002096
PITX2	NM_000325
AKR1C3	NM_003739
FAM177A1	NM_173607
ANKRD52	NM_173595
SLC35C2	NM_015945
IL36RN	NM_012275
PPP2R3A	NM_002718
TAS1R2	NM_152232
TAS1R3	NM_152228
SNX5	NM_014426
ALPK1	NM_025144
PPIL6	NM_001111298
PLEKHB2	NM_001267062
SAMM50	NM_015380
SLC22A8	NM_004254
SIRPA	NM_080792
COL13A1	NM_001130103
DNAJC19	NM_145261
CST11	NM_130794
PCGF1	NM_032673
LRRC25	NM_145256
MRPL10	NM_148887
PSMG1	NM_003720
ME2	NM_002396
UBE2N	NM_003348
UBE2L3	NM_001256355
ELOVL1	NM_022821
SP110	NM_080424
POLR3E	NM_018119
VPS13B	NM_017890
ARAP1	NM_001040118
GDPD2	NM_001171192
SUCO	NM_014283
TMEM87A	NM_015497
EGFL6	NM_001167890
MMACHC	NM_015506
CAMKK1	NM_172207
CIB3	NM_054113
DEFB118	NM_054112
IP6K3	NM_054111
CKS1B	NM_001826
LRP5	NM_002335
KCNJ10	NM_002241
KRT86	NM_002284
EPB41L2	NM_001431
WDR27	NM_182552
ASGR2	NM_001181
GPR137	NM_001170726
ITGB1BP1	NM_004763
AGTR1	NM_004835
C9orf64	NM_032307
PVRL4	NM_030916
MRPS24	NM_032014
NOA1	NM_032313
POLDIP3	NM_032311
ANKAR	NM_144708
GARNL3	NM_032293
GON4L	NM_001037533
MPP4	NM_033066
PIGU	NM_080476
SERPINB12	NM_080474
TNFRSF13C	NM_052945
ANKRD32	NM_032290
FYTTD1	NM_032288
SLC36A1	NM_078483
TCEAL2	NM_080390
ZNF562	NM_001130031
IL1R1	NM_000877
ZNF850	NM_001193552
ADCK2	NM_052853
STARD13	NM_178006
TYW3	NM_138467
TM4SF19	NM_001204897
ZNF785	NM_152458
HNRPLL	NM_138394
TMCO5A	NM_152453
NALCN	NM_052867
IGSF8	NM_052868
IL17F	NM_052872
SNX18	NM_052870
IFT43	NM_052873
STX1B	NM_052874
SLC2A13	NM_052885
SIGLEC11	NM_052884
PUF60	NM_078480
REEP6	NM_138393
MYL10	NM_138403
SP140L	NM_138402
SHKBP1	NM_138392
TBCK	NM_001163435
MMAB	NM_052845
NAF1	NM_138386
NR3C1	NM_001024094
CNTLN	NM_017738
ZNF534	NM_001143939
CDH1	NM_004360
MED6	NM_005466
PHKA1	NM_002637
GPR52	NM_005684
GPR55	NM_005683
IFT81	NM_014055
R3HCC1L	NM_001256619
YIF1B	NM_001039672
SGCZ	NM_139167
NSD1	NM_022455
SRA1	NM_001035235
TP53I11	NM_006034
RGMA	NM_001166283
PHLDA3	NM_012396
PFDN2	NM_012394
SPDEF	NM_012391
C17orf66	NM_152781
MAPK8IP3	NM_015133
EPHA10	NM_001099439
GABRA1	NM_000806
MRPL14	NM_032111
UCP3	NM_003356
C2orf54	NM_001085437
CCDC129	NM_001257968
C14orf166B	NM_194287
HFE2	NM_213653
SPTY2D1	NM_194285
CLDN23	NM_194284
DNAJC21	NM_194283
C19orf35	NM_198532
MXRA7	NM_001008528
IQCC	NM_001160042
CITED2	NM_001168389
PLEKHO2	NM_025201
ADK	NM_006721
TFG	NM_006070
ITGA7	NM_001144996
GJC3	NM_181538
GKN2	NM_182536
SGK3	NM_013257
ARL6IP6	NM_152522
TMEM205	NM_033408
TNKS1BP1	NM_033396
S100P	NM_005980
NFIL3	NM_005384
NEU2	NM_005383
NEFM	NM_005382
GLUD2	NM_012084
ELL2	NM_012081
HDHD1	NM_001135565
DGAT1	NM_012079
GSN	NM_000177
PEX5	NM_001131023
PIGC	NM_002642
FAM221A	NM_199136
EGFL7	NM_016215
COQ6	NM_182476
SLC35E2	NM_182838
RABGGTA	NM_004581
TMEM237	NM_001044385
PCGF3	NM_006315
SPRR2A	NM_005988
EIF2S1	NM_004094
HOMER2	NM_199330
LOC440335	NM_001253791
CACNG2	NM_006078
OBSL1	NM_015311
LMAN2	NM_006816
TMED9	NM_017510
C9orf114	NM_016390
KIF20B	NM_016195
ENOPH1	NM_021204
NUDT15	NM_018283
MS4A7	NM_021201
IL26	NM_018402
STK32B	NM_018401
GOLGB1	NM_001256486
PDK3	NM_001142386
EXOC7	NM_001145297
SNTN	NM_001080537
NEK2	NM_002497
DAG1	NM_004393
BCHE	NM_000055
AVPR2	NM_000054
SLC12A2	NM_001046
ZNF467	NM_207336
KBTBD12	NM_207335
ATP9B	NM_198531
PVRL1	NM_002855
TNFAIP8L3	NM_207381
BMP2K	NM_198892
POGZ	NM_015100
ZNF511	NM_145806
LOC256021	NM_001256373
TMPRSS3	NM_024022
SP2	NM_003110
LILRA5	NM_021250
PRSS1	NM_002769
ASH2L	NM_004674
MAP3K6	NM_004672
CACNB1	NM_000723
CENPC1	NM_001812
OR1L8	NM_001004454
JMJD7-PLA2G4B	NM_005090
METTL6	NM_152396
NUDT16	NM_001171906
JMY	NM_152405
KLHDC9	NM_152366
SLC25A16	NM_152707
YTHDC1	NM_001031732
SON	NM_138927
C20orf112	NM_001256798
OR10R2	NM_001004472
OR10Q1	NM_001004471
HSP90AA1	NM_001017963
OR10J5	NM_001004469
TIPRL	NM_152902
JARID2	NM_004973
ZNF812	NM_001199814
WDPCP	NM_015910
SH3GLB1	NM_001206651
ZC2HC1A	NM_016010
SRRT	NM_015908
PIDD	NM_145886
SULT1A1	NM_001055
NUP50	NM_007172
KLHDC7A	NM_152375
TARBP2	NM_134323
NMNAT3	NM_178177
ZNF135	NM_007134
BAG5	NM_001015049
RAB3D	NM_004283
TGM3	NM_003245
ITM2A	NM_004867
GOLGA2	NM_004486
SPTLC2	NM_004863
SSR2	NM_003145
NFATC3	NM_173165
GSG1	NM_001080555
DMXL2	NM_001174116
SURF2	NM_017503
TERF1	NM_017489
SLC12A9	NM_020246
TLR4	NM_138554
TSLP	NM_033035
CHPT1	NM_020244
PRELID1	NM_013237
SGCE	NM_001099401
TIMELESS	NM_003920
WISP3	NM_198239
FANCC	NM_000136
LRRC49	NM_001199017
TACC2	NM_206862
FOXO3	NM_001455
ENKUR	NM_145010
UFSP2	NM_018359
ABCF3	NM_018358
C5orf22	NM_018356
SLC8A1	NM_021097
FGF6	NM_020996
RGS3	NM_144488
CACNA1I	NM_021096
BCL2L2-PABPN1	NM_001199864
CRBN	NM_016302
EML2	NM_001193268
SLC30A8	NM_173851
N4BP1	NM_153029
PRICKLE1	NM_153026
EIF4G1	NM_001194946
XIAP	NM_001167
HAS3	NM_005329
CYP4F3	NM_000896
CNOT2	NM_014515
SCARF1	NM_003693
TNFSF11	NM_003701
ZNF792	NM_175872
TSKS	NM_021733
IL21	NM_021803
ACE2	NM_021804
FGA	NM_000508
ALOXE3	NM_001165960
NADK	NM_001198994
EVA1C	NM_058187
FAM3B	NM_058186
POLR2C	NM_032940
PHLDB1	NM_015157
GLG1	NM_012201
EDA2R	NM_001242310
FAM53A	NM_001013622
DCLK1	NM_004734
FASN	NM_004104
KCNK5	NM_003740
CYP3A5	NM_000777
NDNL2	NM_138704
OSBPL1A	NM_080597
MAGEE2	NM_138703
LRRC46	NM_033413
SLC25A51	NM_033412
ITPRIP	NM_033397
XRCC4	NM_022406
MRPS25	NM_022497
APOL2	NM_030882
CTNNBL1	NM_030877
OR5V1	NM_030876
USP29	NM_020903
PRKRIP1	NM_024653
BCAP31	NM_001139457
ATE1	NM_007041
FAM204A	NM_022063
MLLT11	NM_006818
TNFAIP3	NM_006290
ATG13	NM_001205119
PCDHB5	NM_015669
CCT8L2	NM_014406
DAPP1	NM_014395
ILF2	NM_004515
KIAA0101	NM_014736
PHF16	NM_014735
GLCE	NM_015554
DAPK2	NM_014326
SUSD5	NM_015551
OPN3	NM_014322
ORC6	NM_014321
FAU	NM_001997
DKC1	NM_001363
INHA	NM_002191
DYNC1H1	NM_001376
DNASE2	NM_001375
DNASE1L2	NM_001374
DNAH9	NM_001372
QRFP	NM_198180
ZSCAN31	NM_030899
CIDEC	NM_001199623
CCT3	NM_005998
ARHGEF9	NM_015185
SRPR	NM_003139
RPS6KA5	NM_004755
DHRS3	NM_004753
GPR35	NM_001195381
SLC16A7	NM_004731
TPBG	NM_006670
EIF4E3	NM_001134651
FNTB	NM_002028
TRRAP	NM_001244580
PTPRR	NM_002849
GBP1	NM_002053
GATA4	NM_002052
E2F5	NM_001951
TMEM187	NM_003492
GATA1	NM_002049
NPAS2	NM_002518
MYD88	NM_001172567
MYC	NM_002467
NOVA1	NM_002515
NOV	NM_002514
NME3	NM_002513
NME2	NM_002512
NMBR	NM_002511
GPNMB	NM_001005340
NID1	NM_002508
MAP2K5	NM_145160
MINK1	NM_153827
TRPV1	NM_018727
IL27	NM_145659
UNC5B	NM_170744
SLC15A4	NM_145648
COLEC11	NM_001255985
ASIC1	NM_020039
PRR7	NM_030567
SLC6A20	NM_020208
NAA60	NM_024845
NUP85	NM_024844
RTEL1	NM_032957
GLYATL1	NM_080661
GEN1	NM_182625
NFAT5	NM_138713
KRTAP13-3	NM_181622
TRAF5	NM_004619
NCOA1	NM_003743
PPP2R1B	NM_181699
C16orf72	NM_014117
NMUR1	NM_006056
ZNF770	NM_014106
MXI1	NM_130439
MTMR3	NM_021090
DHDDS	NM_024887
C10orf95	NM_024886
KBTBD7	NM_032138
CKMT1B	NM_020990
ZNF8	NM_021089
MS4A4A	NM_148975
HOXB9	NM_024017
HOXB4	NM_024015
GPR87	NM_023915
IFNA1	NM_024013
CDK11A	NM_024011
MTRR	NM_024010
C6orf47	NM_021184
MAP6D1	NM_024871
POLL	NM_013274
SLCO3A1	NM_013272
FOXS1	NM_004118
CST4	NM_001899
FGF9	NM_002010
CNKSR2	NM_014927
CAST	NM_001042440
PLCXD2	NM_001185106
NIT1	NM_005600
SRSF3	NM_003017
MGST3	NM_004528
YY1	NM_003403
BPTF	NM_182641
RABL2A	NM_007082
LETM1	NM_012318
ENOX2	NM_182314
VAT1	NM_006373
N6AMT1	NM_013240
DNAJC15	NM_013238
CLCC1	NM_001048210
HARS2	NM_012208
TET1	NM_030625
SPHKAP	NM_001142644
SPAG16	NM_024532
RAD51AP1	NM_001130862
CLDN5	NM_003277
HEPH	NM_138737
NUDT8	NM_001243750
MS4A3	NM_006138
MYPN	NM_032578
KRTAP5-1	NM_001005922
RREB1	NM_001003699
PDE1B	NM_000924
PCCB	NM_001178014
C17orf64	NM_181707
DNAJC24	NM_181706
PRDX1	NM_002574
LYRM7	NM_181705
SLC12A6	NM_133647
IQCF3	NM_001085479
NELL2	NM_001145107
LRRC27	NM_030626
DCST1	NM_152494
ARL5C	NM_001143968
CTXN2	NM_001145668
C11orf21	NM_001142946
DAGLB	NM_139179
B3GNT2	NM_006577
AVIL	NM_006576
ZBTB5	NM_014872
PAN2	NM_001127460
TMSB4X	NM_021109
GUK1	NM_001242840
PLBD2	NM_173542
RASGRP3	NM_170672
PXN	NM_001243756
ALDH18A1	NM_002860
CSPG5	NM_001206943
E2F7	NM_203394
RBM12B	NM_203390
ACSL5	NM_016234
ERICH1	NM_207332
NIPAL1	NM_207330
PFN1	NM_005022
TNFRSF10A	NM_003844
CMA1	NM_001836
CLTCL1	NM_007098
CLCN4	NM_001830
CLCN3	NM_173872
CKS2	NM_001827
HLA-DMB	NM_002118
BRSK1	NM_032430
MYBPC1	NM_001254718
LOC100129924	NM_001242750
RSBN1L	NM_198467
KIF5A	NM_004984
PLA2G7	NM_005084
KCNJ9	NM_004983
TRIM25	NM_005082
CSDE1	NM_001242891
GALNT11	NM_022087
SLC17A9	NM_022082
CAPN1	NM_005186
AIMP1	NM_001142416
NUMBL	NM_004756
MRPS36	NM_033281
LACRT	NM_033277
BTBD6	NM_033271
PVALB	NM_002854
CYSTM1	NM_032412
ABHD8	NM_024527
SERHL2	NM_014509
SECISBP2L	NM_001193489
DOK4	NM_018110
HAUS2	NM_018097
GPR173	NM_018969
KLRF1	NM_016523
TFDP3	NM_016521
PIPOX	NM_016518
ST3GAL4	NM_001254757
ZNF346	NM_012279
HCRTR2	NM_001526
HCRTR1	NM_001525
HAS1	NM_001523
ABCA3	NM_001089
GTF2H4	NM_001517
LRRC32	NM_005512
PPP1R1A	NM_006741
MCM5	NM_006739
MAST1	NM_014975
TMEM191B	NM_001242313
BBC3	NM_001127240
CDKN2A	NM_001195132
MR1	NM_001531
GLRA2	NM_002063
GLP1R	NM_002062
EFNA5	NM_001962
GCLM	NM_002061
EEF2	NM_001961
PRIMA1	NM_178013
TUBB2B	NM_178012
LRRTM3	NM_178011
CSNK2A1	NM_001895
OGG1	NM_016821
VAMP1	NM_014231
MED25	NM_030973
WAC	NM_016628
ZNF611	NM_030972
KIF9	NM_182902
CHEK2	NM_001005735
PXMP4	NM_007238
ANKRD28	NM_015199
MYBBP1A	NM_001105538
ICAM2	NM_000873
FBXL19	NM_001099784
BIN2	NM_016293
RRAGC	NM_022157
URM1	NM_001135947
CDADC1	NM_030911
SMOC2	NM_022138
SPAM1	NM_003117
SPAG4	NM_003116
EEF1D	NM_032378
PDS5A	NM_001100399
PTAR1	NM_001099666
THAP5	NM_001130475
KCNK16	NM_001135105
GSPT1	NM_002094
MRPL19	NM_014763
C5orf45	NM_016175
CIRBP	NM_001280
TBCB	NM_001281
ALPI	NM_001631
BCL6	NM_001706
TATDN3	NM_001146171
CYP27A1	NM_000784
CYP24A1	NM_000782
FMR1	NM_002024
SRI	NM_003130
GLUD1	NM_005271
GLI1	NM_005269
BPNT1	NM_006085
SARS	NM_006513
LGALS8	NM_006499
PTP4A3	NM_032611
ATP6AP2	NM_005765
MYL12B	NM_033546
SERINC5	NM_001174072
ENDOU	NM_001172439
PEX11B	NM_003846
PSMD1	NM_002807
ZKSCAN1	NM_003439
S100A7	NM_002963
S100A5	NM_002962
GPR62	NM_080865
PFN2	NM_002628
RHPN1	NM_052924
KLHL29	NM_052920
GALNT13	NM_052917
GSG1L	NM_001109763
ADC	NM_052998
SPAG9	NM_001130528
PRKAG1	NM_001206709
NFYC	NM_001142588
ZNF44	NM_001164276
ALKBH3	NM_139178
BLOC1S2	NM_173809
AK7	NM_152327
RAP1GDS1	NM_001100426
SAP30L	NM_024632
GNAL	NM_182978
GATA2	NM_032638
RAP1GAP	NM_001145658
TNIP2	NM_024309
TMEM217	NM_145316
TRIM45	NM_025188
C21orf62	NM_019596
SPATA20	NM_022827
REG3G	NM_198448
PRRT4	NM_001174164
CLN5	NM_006493
TRAPPC3	NM_001270894
TFPI2	NM_006528
TXNDC16	NM_020784
SHROOM2	NM_001649
TBC1D25	NM_002536
YIPF6	NM_173834
LDHB	NM_002300
CASR	NM_001178065
NSMF	NM_001130969
CYBB	NM_000397
SYF2	NM_015484
C15orf48	NM_032413
TMUB2	NM_001076674
PCBP3	NM_020528
GRAMD1A	NM_020895
RIIAD1	NM_001144956
GRIN2A	NM_000833
RUNDC3B	NM_138290
C7orf50	NM_032350
PPP1R12A	NM_002480
KLF9	NM_001206
BNIP1	NM_013979
HCN2	NM_001194
DEPDC7	NM_001077242
ULK3	NM_001099436
ZFP28	NM_020828
CRAMP1L	NM_020825
NOL3	NM_001276319
HHIP	NM_022475
ZBED2	NM_024508
KREMEN2	NM_172229
MATK	NM_002378
SLC9A6	NM_001042537
NOD1	NM_006092
TBX1	NM_080647
SCRG1	NM_007281
NEDD4	NM_198400
PROB1	NM_001161546
HGC6.3	NM_001129895
CSNK1A1L	NM_145203
PRAP1	NM_145202
NAPRT1	NM_145201
CABP4	NM_145200
PRR24	NM_178511
SMCR7	NM_148886
SMC1B	NM_148674
AQP11	NM_173039
LEO1	NM_138792
POGLUT1	NM_152305
IL4I1	NM_172374
TCEAL7	NM_152278
FBXO16	NM_172366
PPP1R36	NM_172365
GPT2	NM_133443
GPR119	NM_178471
ZNF846	NM_001077624
C16orf90	NM_001080524
CACNA2D2	NM_001174051
DYDC2	NM_001270042
DPM2	NM_003863
BFSP2	NM_003571
STX7	NM_003569
SYT7	NM_001252065
POLR2J	NM_006234
MAMSTR	NM_001130915
ACYP1	NM_001107
PEX13	NM_002618
ANAPC7	NM_016238
TRPC5OS	NM_001195576
PRR9	NM_001195571
LRRC3C	NM_001195545
LOC100289187	NM_001195541
PAX8	NM_003466
ACAD9	NM_014049
TACR3	NM_001059
CPT1A	NM_001876
PLAU	NM_002658
SAT1	NM_002970
SMARCA2	NM_003070
KLF1	NM_006563
PSG1	NM_006905
SOX3	NM_005634
SOS1	NM_005633
SLC6A14	NM_007231
LRRN3	NM_018334
RAPGEF6	NM_001164386
RABL6	NM_001173988
KIAA1324L	NM_001142749
ASB14	NM_001142733
C1orf122	NM_198446
CCDC121	NM_001142683
ZNF577	NM_032679
SLC2A5	NM_003039
CTIF	NM_001142397
DYNC1I1	NM_004411
AIRE	NM_000383
SOBP	NM_018013
SEC61A2	NM_018144
XYLT1	NM_022166
LIN7B	NM_022165
MRPL46	NM_022163
NOD2	NM_022162
POU6F2	NM_007252
KLF12	NM_007249
ZNF10	NM_015394
SCN11A	NM_014139
MFSD2A	NM_001136493
SLC4A5	NM_021196
C11orf45	NM_145013
ZNF25	NM_145011
YPEL4	NM_145008
PCP4L1	NM_001102566
PEX2	NM_000318
BCS1L	NM_004328
INO80C	NM_001098817
METTL21A	NM_145280
SBNO2	NM_014963
UPK3BL	NM_001114403
PPP4R1	NM_001042388
GPR182	NM_007264
CD200	NM_001004196
HS3ST2	NM_006043
HS3ST3A1	NM_006042
MMP16	NM_005941
HS3ST3B1	NM_006041
HS3ST4	NM_006040
ABCA12	NM_173076
KIF26A	NM_015656
LZTR1	NM_006767
RCE1	NM_005133
CRTAP	NM_006371
LRRC41	NM_006369
SMAD4	NM_005359
CDC123	NM_006023
MAP3K1	NM_005921
SRCAP	NM_006662
CD300A	NM_007261
OR6N1	NM_001005185
OR6K6	NM_001005184
OR6C76	NM_001005183
OR6C1	NM_001005182
VWA5B1	NM_001039500
KIAA0317	NM_001039479
LOC730183	NM_001256932
KIAA1147	NM_001080392
PSMA4	NM_002789
PPAPDC1B	NM_001102559
KRBOX4	NM_001129898
ARTN	NM_057090
SH2D4B	NM_207372
MAP3K11	NM_002419
USH2A	NM_206933
USP10	NM_001272075
GOSR1	NM_004871
OR2T8	NM_001005522
TMEM177	NM_030577
MYH2	NM_017534
BTN3A1	NM_007048
VDAC2	NM_001184783
ANHX	NM_001191054
CADPS	NM_003716
RGL2	NM_004761
RPL17-C18orf32	NM_001199355
GANC	NM_198141
TBC1D26	NM_178571
CRABP2	NM_001878
EPX	NM_000502
CLDN4	NM_001305
PMS1	NM_000534
PTGER1	NM_000955
F3	NM_001993
F2R	NM_001992
GRSF1	NM_002092
GYPE	NM_002102
EZH1	NM_001991
GJA4	NM_002060
LMAN1	NM_005570
TDO2	NM_005651
GDF9	NM_005260
MSTN	NM_005259
GCHFR	NM_005258
GNG8	NM_033258
MYO18A	NM_078471
CT45A2	NM_152582
FMR1NB	NM_152578
TTC39B	NM_152574
AK8	NM_152572
C9orf66	NM_152569
STX16	NM_001001433
SNAI2	NM_003068
SALL1	NM_002968
S100A10	NM_002966
S100A9	NM_002965
AP5Z1	NM_014855
HADHA	NM_000182
GUSB	NM_000181
HSD17B4	NM_001199291
STAT4	NM_003151
OMD	NM_005014
NUCB2	NM_005013
OXA1L	NM_005015
KLK7	NM_005046
DOCK2	NM_004946
CBS	NM_000071
TRA2B	NM_004593
MANBA	NM_005908
RNF112	NM_007148
STX1A	NM_004603
CCL20	NM_004591
RRBP1	NM_004587
SQSTM1	NM_003900
NFIC	NM_001245002
IVL	NM_005547
TMEM251	NM_001098621
DKK4	NM_014420
LMBR1	NM_022458
CABP1	NM_001033677
ADAMTSL1	NM_001040272
PGPEP1	NM_017712
CNNM4	NM_020184
ARHGAP33	NM_052948
TMEM135	NM_022918
C14orf80	NM_001134875
PCBP2	NM_005016
RASSF7	NM_003475
RELL2	NM_173828
SIN3A	NM_015477
MYO5A	NM_000259
MFAP2	NM_002403
CYP51A1	NM_000786
CYP11A1	NM_000781
CYP7A1	NM_000780
SLC4A7	NM_003615
CNKSR1	NM_006314
ZC3H4	NM_015168
CTR9	NM_014633
UTP11L	NM_016037
PLEKHM2	NM_015164
COPZ1	NM_001271736
CALCRL	NM_005795
GPR98	NM_032119
ATRIP	NM_130384
KIT	NM_000222
SLC25A21	NM_030631
PHF8	NM_001184896
ACBD4	NM_001135704
PIK3C2G	NM_004570
SEPT10	NM_144710
POM121	NM_001257190
AP1B1	NM_001127
BRWD3	NM_153252
MSH5	NM_002441
UBR7	NM_175748
OLIG3	NM_175747
HPS1	NM_000195
ARNT	NM_001668
FAM111A	NM_022074
OXLD1	NM_001039842
FOXD4L5	NM_001126334
FOXD4L6	NM_001085476
WHSC1	NM_133330
GLIS3	NM_001042413
POLR2M	NM_015532
CRX	NM_000554
ALDOB	NM_000035
ABCD1	NM_000033
ALAS2	NM_000032
ACVR2A	NM_001616
ARF5	NM_001662
ZXDB	NM_007157
PDHA2	NM_005390
MCCC1	NM_020166
PNMA2	NM_007257
B4GALT7	NM_007255
RAD18	NM_020165
C5orf28	NM_022483
C2orf83	NM_020161
SMARCAD1	NM_001128429
MEGF10	NM_032446
SDC1	NM_002997
MUC20	NM_152673
C22orf46	NM_001142964
ANKRD16	NM_019046
TMEM230	NM_001009923
MSANTD1	NM_001042690
ATP5J2	NM_004889
LDHA	NM_001165414
GNG4	NM_004485
COL6A6	NM_001102608
C6orf222	NM_001010903
TET2	NM_001127208
RPL41	NM_021104
PRPF40B	NM_001031698
DEDD	NM_032998
MRGPRE	NM_001039165
C16orf13	NM_001040160
ICAM4	NM_001039132
RALGDS	NM_006266
MARCH2	NM_016496
PKP2	NM_004572
OR2T35	NM_001001827
SOGA3	NM_001012279
PRAMEF4	NM_001009611
SULT1C3	NM_001008743
PHF21A	NM_001101802
DCAF8L1	NM_001017930
KCNK2	NM_001017425
XCR1	NM_005283
PSMA8	NM_144662
CD14	NM_000591
ZEB1	NM_001174096
CFH	NM_000186
UFSP1	NM_001015072
CALN1	NM_031468
RAB12	NM_001025300
C3orf70	NM_001025266
SLC4A4	NM_001134742
NR1H4	NM_001206993
TFAP2A	NM_003220
TMPRSS7	NM_001042575
AFP	NM_001134
ARHGAP44	NM_014859
PRKAR1A	NM_002734
MAST3	NM_015016
MERTK	NM_006343
PMVK	NM_006556
IGF2BP2	NM_006548
CA14	NM_012113
VCPIP1	NM_025054
UBTD1	NM_024954
ZNF654	NM_018293
PET112	NM_004564
HIST1H4D	NM_003539
ROBO1	NM_002941
HMGN4	NM_006353
INPP5A	NM_005539
INHBC	NM_005538
IMPA1	NM_001144878
IL12RB1	NM_005535
IFNGR2	NM_005534
IFI35	NM_005533
IFI16	NM_005531
MCCD1	NM_001011700
CLIP2	NM_003388
WIPF1	NM_003387
HIST1H4L	NM_003546
HIST1H4E	NM_003545
HIST1H4B	NM_003544
HIST1H4H	NM_003543
HIST1H4C	NM_003542
HIST1H4K	NM_003541
HIST1H4F	NM_003540
FOXA1	NM_004496
PAQR6	NM_024897
APBB1	NM_001164
MORF4L1	NM_206839
FOXR2	NM_198451
KLK2	NM_005551
FSHB	NM_000510
TSPO2	NM_001010873
C15orf59	NM_001039614
CHI3L1	NM_001276
PLS1	NM_002670
ADAMDEC1	NM_014479
ZNF692	NM_001136036
LTA	NM_000595
TRPV4	NM_021625
MAGEC1	NM_005462
PRF1	NM_005041
CLEC3A	NM_005752
USP43	NM_153210
BLNK	NM_013314
CLPB	NM_030813
SLC4A8	NM_001039960
LRCH2	NM_020871
ZNF497	NM_198458
ZNF600	NM_198457
APOOL	NM_198450
EMB	NM_198449
SERPINH1	NM_001235
RCAN3	NM_013441
OCLN	NM_002538
C19orf45	NM_198534
SLITRK2	NM_032539
MLL5	NM_018682
IL36G	NM_019618
PRTFDC1	NM_020200
SLC13A1	NM_022444
AGL	NM_000028
PDCD1	NM_005018
PCYT1A	NM_005017
KNTC1	NM_014708
ZNF101	NM_033204
LMF2	NM_033200
KRTAP4-5	NM_033188
CNR1	NM_016083
SIRT7	NM_016538
VWA2	NM_001272046
MDM1	NM_017440
TARM1	NM_001135686
ALOX12	NM_000697
EPAS1	NM_001430
SSBP4	NM_032627
EPM2A	NM_005670
VPS13A	NM_033305
SLC6A17	NM_001010898
TTC1	NM_003314
NFKBIB	NM_002503
ART5	NM_053017
RERE	NM_012102
MEF2A	NM_005587
LY9	NM_002348
DNAJC6	NM_001256864
KIAA0754	NM_015038
FOXI1	NM_012188
FOXE3	NM_012186
FOXD3	NM_012183
FOXB1	NM_012182
FKBP8	NM_012181
FBXO8	NM_012180
FBXO7	NM_012179
FAM115A	NM_014719
BTF3L4	NM_152265
KCNV2	NM_133497
DPPA2	NM_138815
TAGAP	NM_054114
C11orf88	NM_207430
CCR2	NM_001123041
ZNF14	NM_021030
MTSS1	NM_014751
SCCPDH	NM_016002
NUDT13	NM_015901
MED15	NM_001003891
DYNC1I2	NM_001378
NR4A2	NM_006186
NUPR1	NM_001042483
TDRD10	NM_001098475
ALDOA	NM_001243177
SHISA9	NM_001145204
KLHL4	NM_057162
RPRD2	NM_015203
DGKG	NM_001346
DNMT3B	NM_006892
MCL1	NM_021960
MACC1	NM_182762
OR4K2	NM_001005501
OR10AG1	NM_001005491
SOX6	NM_001145819
EXOSC3	NM_016042
