No.	Kinase	Group	Family	Subfamily	Gene.Symbol	gene.clean	Description	group.clean
241	p38a(MAPK14)	CMGC	MAPK	p38	MAPK14	MAPK14	mitogen-activated protein kinase 14	MAPK_p38
242	p38b(MAPK11)	CMGC	MAPK	p38	MAPK11	MAPK11	mitogen-activated protein kinase 11	MAPK_p38
243	p38d(MAPK13)	CMGC	MAPK	p38	MAPK13	MAPK13	mitogen-activated protein kinase 13	MAPK_p38
244	p38g(MAPK12)	CMGC	MAPK	p38	MAPK12	MAPK12	mitogen-activated protein kinase 12	MAPK_p38
245	MAK	CMGC	RCK		MAK	MAK	male germ cell-associated kinase	RCK
246	MOK	CMGC	RCK		RAGE	AGER	renal tumor antigen	RCK
247	ICK	CMGC	RCK		ICK	ICK	intestinal cell (MAK-like) kinase	RCK
248	SRPK1	CMGC	SRPK		SRPK1	SRPK1	SFRS protein kinase 1	SRPK
249	SRPK2	CMGC	SRPK		SRPK2	SRPK2	SFRS protein kinase 2	SRPK
250	MSSK1	CMGC	SRPK		SRPK3	SRPK3	SFRS protein kinase 3	SRPK
251	AurA	Other	Aur		AURKA	AURKA	aurora kinase A	Aur
252	AurC	Other	Aur		AURKC	AURKC	aurora kinase C	Aur
253	AurB	Other	Aur		AURKB	AURKB	aurora kinase B	Aur
254	BUB1	Other	BUB		BUB1	BUB1	BUB1 budding uninhibited by benzimidazoles 1 homolog (yeast)	BUB
255	BUBR1	Other	BUB		BUB1B	BUB1B	BUB1 budding uninhibited by benzimidazoles 1 homolog beta (yeast)	BUB
256	PRPK	Other	Bud32		TP53RK	TP53RK	TP53 regulating kinase	Bud32
257	CaMKK2	Other	CAMKK	Meta	CAMKK2	CAMKK2	calcium/calmodulin-dependent protein kinase kinase 2, beta	CAMKK_Meta
258	CaMKK1	Other	CAMKK	Meta	CAMKK1	CAMKK1	calcium/calmodulin-dependent protein kinase kinase 1, alpha	CAMKK_Meta
259	CDC7	Other	CDC7		CDC7	CDC7	cell division cycle 7 homolog (S. cerevisiae)	CDC7
260	Haspin	Other	Haspin		GSG2	GSG2	germ cell associated 2 (haspin)	Haspin
261	IKKa	Other	IKK		CHUK	CHUK	conserved helix-loop-helix ubiquitous kinase	IKK
262	IKKb	Other	IKK		IKBKB	IKBKB	inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase beta	IKK
263	IKKe	Other	IKK		IKBKE	IKBKE	inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase epsilon	IKK
264	TBK1	Other	IKK		TBK1	TBK1	TANK-binding kinase 1	IKK
265	IRE1	Other	IRE		ERN1	ERN1	endoplasmic reticulum to nucleus signalling 1	IRE
266	IRE2	Other	IRE		ERN2	ERN2	endoplasmic reticulum to nucleus signalling 2	IRE
267	KIS	Other	KIS		UHMK1	UHMK1	U2AF homology motif (UHM) kinase 1	KIS
268	MOS	Other	MOS		MOS	MOS	v-mos Moloney murine sarcoma viral oncogene homolog	MOS
269	AAK1	Other	NAK	BIKE	AAK1	AAK1	AP2 associated kinase 1	NAK_BIKE
270	BIKE	Other	NAK	BIKE	BMP2K	BMP2K	BMP2 inducible kinase	NAK_BIKE
271	GAK	Other	NAK	GAK	GAK	GAK	cyclin G associated kinase	NAK_GAK
272	MPSK1	Other	NAK	MPSK	STK16	STK16	serine/threonine kinase 16	NAK_MPSK
273	NEK1	Other	NEK	NEK1	NEK1	NEK1	NIMA (never in mitosis gene a)-related kinase 1	NEK_NEK1
274	NEK3	Other	NEK	NEK1	NEK3	NEK3	NIMA (never in mitosis gene a)-related kinase 3	NEK_NEK1
275	NEK5	Other	NEK	NEK1	NEK5	NEK5	NIMA (never in mitosis gene a)-related kinase 5	NEK_NEK1
276	NEK10	Other	NEK	NEK10	NEK10	NEK10	NIMA (never in mitosis gene a)- related kinase 10	NEK_NEK10
277	NEK11	Other	NEK	NEK11	NEK11	NEK11	NIMA (never in mitosis gene a)- related kinase 11	NEK_NEK11
278	NEK2	Other	NEK	NEK2	NEK2	NEK2	NIMA (never in mitosis gene a)-related kinase 2	NEK_NEK2
279	NEK4	Other	NEK	NEK4	NEK4	NEK4	NIMA (never in mitosis gene a)-related kinase 4	NEK_NEK4
280	NEK6	Other	NEK	NEK6	NEK6	NEK6	NIMA (never in mitosis gene a)-related kinase 6	NEK_NEK6
281	NEK7	Other	NEK	NEK6	NEK7	NEK7	NIMA (never in mitosis gene a)-related kinase 7	NEK_NEK6
282	NEK9	Other	NEK	NEK8	NEK9	NEK9	NIMA (never in mitosis gene a)- related kinase 9	NEK_NEK8
283	NEK8	Other	NEK	NEK8	NEK8	NEK8	NIMA (never in mitosis gene a)- related kinase 8	NEK_NEK8
284	SBK	Other	NKF1		SBK1	SBK1	SH3-binding domain kinase 1	NKF1
285	SgK069	Other	NKF1		LOC646643	SBK2	similar to protein kinase Bsk146	NKF1
286	SgK110	Other	NKF1					NKF1
287	PINK1	Other	NKF2		PINK1	PINK1	PTEN induced putative kinase 1	NKF2
288	SgK269	Other	NKF3		KIAA2002	PEAK1	KIAA2002 protein	NKF3
289	SgK223	Other	NKF3		DKFZP761P0423	SGK223	homolog of rat pragma of Rnd2	NKF3
290	CLIK1	Other	NKF4		STK35	STK35	serine/threonine kinase 35	NKF4
291	CLIK1L	Other	NKF4		PDIK1L	PDIK1L	PDLIM1 interacting kinase 1 like	NKF4
292	SgK307	Other	NKF5		TEX14	TEX14	testis expressed sequence 14	NKF5
293	SgK424	Other	NKF5					NKF5
294	NRBP1	Other	NRBP		NRBP1	NRBP1	nuclear receptor binding protein 1	NRBP
295	NRBP2	Other	NRBP		NRBP2	NRBP2	nuclear receptor binding protein 2	NRBP
296	RNAseL	Other	Other-Unique		RNASEL	RNASEL	ribonuclease L (2,5-oligoisoadenylate synthetase-dependent)	Other-Unique
297	SgK396	Other	Other-Unique		STK31	STK31	serine/threonine kinase 31	Other-Unique
298	SgK196	Other	Other-Unique		FLJ23356	SGK196	hypothetical protein FLJ23356	Other-Unique
299	GCN2	Other	PEK	GCN2	EIF2AK4	EIF2AK4	eukaryotic translation initiation factor 2 alpha kinase 4	PEK_GCN2
300	HRI	Other	PEK	HRI	EIF2AK1	EIF2AK1	eukaryotic translation initiation factor 2-alpha kinase 1	PEK_HRI
301	PEK	Other	PEK	PEK	EIF2AK3	EIF2AK3	eukaryotic translation initiation factor 2-alpha kinase 3	PEK_PEK
302	PKR	Other	PEK	PKR	EIF2AK2	EIF2AK2	eukaryotic translation initiation factor 2-alpha kinase 2	PEK_PKR
303	PLK1	Other	PLK	PLK1	PLK1	PLK1	polo-like kinase 1 (Drosophila)	PLK_PLK1
304	PLK3	Other	PLK	PLK2	PLK3	PLK3	polo-like kinase 3 (Drosophila)	PLK_PLK2
305	PLK2	Other	PLK	PLK2	PLK2	PLK2	polo-like kinase 2 (Drosophila)	PLK_PLK2
306	PLK4	Other	PLK	SAK	PLK4	PLK4	polo-like kinase 4 (Drosophila)	PLK_SAK
307	SCYL2	Other	SCY1		SCYL2	SCYL2	SCY1-like 2 (S. cerevisiae)	SCY1
308	SCYL3	Other	SCY1		SCYL3	SCYL3	SCY1-like 3 (S. cerevisiae)	SCY1
309	SCYL1	Other	SCY1		SCYL1	SCYL1	SCY1-like 1 (S. cerevisiae)	SCY1
310	SgK071	Other	SgK071		C9ORF96	C9ORF96	chromosome 9 open reading frame 96	SgK071
311	SgK493	Other	SgK493		LOC91461	PKDCC	hypothetical protein BC007901	SgK493
312	SgK496	Other	SgK496		RIPK5	DSTYK	receptor interacting protein kinase 5	SgK496
313	Slob	Other	Slob		PXK	PXK	PX domain containing serine/threonine kinase	Slob
314	TBCK	Other	TBCK		MGC16169	TBCK	hypothetical protein MGC16169	TBCK
315	TLK1	Other	TLK		TLK1	TLK1	tousled-like kinase 1	TLK
316	TLK2	Other	TLK		TLK2	TLK2	tousled-like kinase 2	TLK
317	PBK	Other	TOPK		PBK	PBK	PDZ binding kinase	TOPK
318	TTK	Other	TTK		TTK	TTK	TTK protein kinase	TTK
319	Fused	Other	ULK	Fused	STK36	STK36	serine/threonine kinase 36, fused homolog (Drosophila)	ULK_Fused
320	ULK1	Other	ULK	ULK	ULK1	ULK1	unc-51-like kinase 1 (C. elegans)	ULK_ULK
321	ULK2	Other	ULK	ULK	ULK2	ULK2	unc-51-like kinase 2 (C. elegans)	ULK_ULK
322	ULK3	Other	ULK	ULK	ULK3	ULK3	unc-51-like kinase 3 (C. elegans)	ULK_ULK
323	ULK4	Other	ULK	ULK	ULK4	ULK4	unc-51-like kinase 4 (C. elegans)	ULK_ULK
324	PIK3R4	Other	VPS15		PIK3R4	PIK3R4	phosphoinositide-3-kinase, regulatory subunit 4, p150	VPS15
325	Wee1	Other	WEE		WEE1	WEE1	WEE1 homolog (S. pombe)	WEE
326	MYT1	Other	WEE		PKMYT1	PKMYT1	protein kinase, membrane associated tyrosine/threonine 1	WEE
327	Wee1B	Other	WEE		FLJ40852	WEE1B	hypothetical protein FLJ40852	WEE
328	Wnk1	Other	WNK		WNK1	WNK1	WNK lysine deficient protein kinase 1	WNK
329	Wnk4	Other	WNK		WNK4	WNK4	WNK lysine deficient protein kinase 4	WNK
330	Wnk3	Other	WNK		WNK3	WNK3	WNK lysine deficient protein kinase 3	WNK
331	Wnk2	Other	WNK		WNK2	WNK2	WNK lysine deficient protein kinase 2	WNK
332	HSER	RGC	RGC		GUCY2C	GUCY2C	guanylate cyclase 2C (heat stable enterotoxin receptor)	RGC
333	CYGF	RGC	RGC		GUCY2F	GUCY2F	guanylate cyclase 2F, retinal	RGC
334	CYGD	RGC	RGC		GUCY2D	GUCY2D	guanylate cyclase 2D, membrane (retina-specific)	RGC
335	ANPa	RGC	RGC		NPR1	NPR1	natriuretic peptide receptor A/guanylate cyclase A (atrionatriuretic peptide receptor A)	RGC
336	ANPb	RGC	RGC		NPR2	NPR2	natriuretic peptide receptor B/guanylate cyclase B (atrionatriuretic peptide receptor B)	RGC
337	MAP3K5	STE	STE11	ASK	MAP3K5	MAP3K5	mitogen-activated protein kinase kinase kinase 5	STE11_ASK
338	MAP3K6	STE	STE11	ASK	MAP3K6	MAP3K6	mitogen-activated protein kinase kinase kinase 6	STE11_ASK
339	MAP3K7	STE	STE11	ASK	MAP3K15	MAP3K15	mitogen-activated protein kinase kinase kinase 15	STE11_ASK
340	MAP3K1	STE	STE11	MEKK1	MAP3K1	MAP3K1	mitogen-activated protein kinase kinase kinase 1	STE11_MEKK1
341	MAP3K8	STE	STE11	MEKK15	YSK4	YSK4	yeast Sps1/Ste20-related kinase 4 (S. cerevisiae)	STE11_MEKK15
342	MAP3K3	STE	STE11	MEKK2	MAP3K3	MAP3K3	mitogen-activated protein kinase kinase kinase 3	STE11_MEKK2
343	MAP3K2	STE	STE11	MEKK2	MAP3K2	MAP3K2	mitogen-activated protein kinase kinase kinase 2	STE11_MEKK2
344	MAP3K4	STE	STE11	MEKK4	MAP3K4	MAP3K4	mitogen-activated protein kinase kinase kinase 4	STE11_MEKK4
345	OSR1	STE	STE20	FRAY	OXSR1	OXSR1	oxidative-stress responsive 1	STE20_FRAY
346	STLK3	STE	STE20	FRAY	STK39	STK39	serine threonine kinase 39 (STE20/SPS1 homolog, yeast)	STE20_FRAY
347	GCK	STE	STE20	KHS	MAP4K2	MAP4K2	mitogen-activated protein kinase kinase kinase kinase 2	STE20_KHS
348	KHS2	STE	STE20	KHS	MAP4K3	MAP4K3	mitogen-activated protein kinase kinase kinase kinase 3	STE20_KHS
349	KHS1	STE	STE20	KHS	MAP4K5	MAP4K5	mitogen-activated protein kinase kinase kinase kinase 5	STE20_KHS
350	HPK1	STE	STE20	KHS	MAP4K1	MAP4K1	mitogen-activated protein kinase kinase kinase kinase 1	STE20_KHS
351	HGK	STE	STE20	MSN	MAP4K4	MAP4K4	mitogen-activated protein kinase kinase kinase kinase 4	STE20_MSN
352	TNIK	STE	STE20	MSN	TNIK	TNIK	TRAF2 and NCK interacting kinase	STE20_MSN
353	NRK	STE	STE20	MSN	NRK	NRK	Nik related kinase	STE20_MSN
354	MINK	STE	STE20	MSN	MINK1	MINK1	misshapen-like kinase 1 (zebrafish)	STE20_MSN
355	MST2	STE	STE20	MST	STK3	STK3	serine/threonine kinase 3 (STE20 homolog, yeast)	STE20_MST
356	MST1	STE	STE20	MST	STK4	STK4	serine/threonine kinase 4	STE20_MST
357	MYO3A	STE	STE20	NinaC	MYO3A	MYO3A	myosin IIIA	STE20_NinaC
358	MYO3B	STE	STE20	NinaC	MYO3B	MYO3B	myosin IIIB	STE20_NinaC
359	PAK1	STE	STE20	PAK(PAKA)	PAK1	PAK1	p21/Cdc42/Rac1-activated kinase 1 (STE20 homolog, yeast)	STE20_PAK(PAKA)
360	PAK2	STE	STE20	PAK(PAKA)	PAK2	PAK2	p21 (CDKN1A)-activated kinase 2	STE20_PAK(PAKA)
361	PAK3	STE	STE20	PAK(PAKA)	PAK3	PAK3	p21 (CDKN1A)-activated kinase 3	STE20_PAK(PAKA)
362	PAK4	STE	STE20	PAK(PAKB)	PAK4	PAK4	p21(CDKN1A)-activated kinase 4	STE20_PAK(PAKB)
363	PAK6	STE	STE20	PAK(PAKB)	PAK6	PAK6	p21(CDKN1A)-activated kinase 6	STE20_PAK(PAKB)
364	PAK5	STE	STE20	PAK(PAKB)	PAK7	PAK7	p21(CDKN1A)-activated kinase 7	STE20_PAK(PAKB)
365	LOK	STE	STE20	SLK	STK10	STK10	serine/threonine kinase 10	STE20_SLK
366	SLK	STE	STE20	SLK	SLK	SLK	STE20-like kinase (yeast)	STE20_SLK
367	STLK6	STE	STE20	STLK	ALS2CR2	STRADB	amyotrophic lateral sclerosis 2 (juvenile) chromosome region, candidate 2	STE20_STLK
368	STLK5	STE	STE20	STLK	LYK5	STRADA	protein kinase LYK5	STE20_STLK
369	TAO2	STE	STE20	TAO	TAOK2	TAOK2	TAO kinase 2	STE20_TAO
370	TAO3	STE	STE20	TAO	TAOK3	TAOK3	TAO kinase 3	STE20_TAO
371	TAO1	STE	STE20	TAO	TAOK1	TAOK1	TAO kinase 1	STE20_TAO
372	MST3	STE	STE20	YSK	STK24	STK24	serine/threonine kinase 24 (STE20 homolog, yeast)	STE20_YSK
373	YSK1	STE	STE20	YSK	STK25	STK25	serine/threonine kinase 25 (STE20 homolog, yeast)	STE20_YSK
374	MST4	STE	STE20	YSK	RP6-213H19.1	ANKHD1	serine/threonine protein kinase MST4	STE20_YSK
375	MAP2K1	STE	STE7	MAP2K(MEK1)	MAP2K1	MAP2K1	mitogen-activated protein kinase kinase 1	STE7_MAP2K(MEK1)
376	MAP2K2	STE	STE7	MAP2K(MEK1)	MAP2K2	MAP2K2	mitogen-activated protein kinase kinase 2	STE7_MAP2K(MEK1)
377	MAP2K3	STE	STE7	MAP2K(MEK3)	MAP2K3	MAP2K3	mitogen-activated protein kinase kinase 3	STE7_MAP2K(MEK3)
378	MAP2K6	STE	STE7	MAP2K(MEK3)	MAP2K6	MAP2K6	mitogen-activated protein kinase kinase 6	STE7_MAP2K(MEK3)
379	MAP2K4	STE	STE7	MAP2K(MEK4)	MAP2K4	MAP2K4	mitogen-activated protein kinase kinase 4	STE7_MAP2K(MEK4)
380	MAP2K5	STE	STE7	MAP2K(MEK5)	MAP2K5	MAP2K5	mitogen-activated protein kinase kinase 5	STE7_MAP2K(MEK5)
381	MAP2K7	STE	STE7	MAP2K(MEK7)	MAP2K7	MAP2K7	mitogen-activated protein kinase kinase 7	STE7_MAP2K(MEK7)
382	COT	STE	STE-Unique		MAP3K8	MAP3K8	mitogen-activated protein kinase kinase kinase 8	STE-Unique
383	NIK	STE	STE-Unique		MAP3K14	MAP3K14	mitogen-activated protein kinase kinase kinase 14	STE-Unique
384	ABL1(Abl)	TK	Abl		ABL1	ABL1	v-abl Abelson murine leukemia viral oncogene homolog 1	Abl
385	ABL2(ARG)	TK	Abl		ABL2	ABL2	v-abl Abelson murine leukemia viral oncogene homolog 2 (arg, Abelson-related gene)	Abl
386	ACK	TK	Ack		TNK2	TNK2	tyrosine kinase, non-receptor, 2	Ack
387	TNK1	TK	Ack		TNK1	TNK1	tyrosine kinase, non-receptor, 1	Ack
388	ALK	TK	ALK		ALK	ALK	anaplastic lymphoma kinase (Ki-1)	ALK
389	LTK	TK	ALK		LTK	LTK	leukocyte tyrosine kinase	ALK
390	AXL	TK	Axl		AXL	AXL	AXL receptor tyrosine kinase	Axl
391	TYRO3	TK	Axl		TYRO3	TYRO3	TYRO3 protein tyrosine kinase	Axl
392	MER	TK	Axl		MERTK	MERTK	c-mer proto-oncogene tyrosine kinase	Axl
393	CCK4	TK	CCK4		PTK7	PTK7	PTK7 protein tyrosine kinase 7	CCK4
394	CSK	TK	Csk		CSK	CSK	c-src tyrosine kinase	Csk
395	CTK	TK	Csk		MATK	MATK	megakaryocyte-associated tyrosine kinase	Csk
396	DDR1	TK	DDR		DDR1	DDR1	discoidin domain receptor family, member 1	DDR
397	DDR2	TK	DDR		DDR2	DDR2	discoidin domain receptor family, member 2	DDR
398	EGFR	TK	EGFR		EGFR	EGFR	epidermal growth factor receptor (erythroblastic leukemia viral (v-erb-b) oncogene homolog, avian)	EGFR
399	ErbB2	TK	EGFR		ERBB2	ERBB2	v-erb-b2 erythroblastic leukemia viral oncogene homolog 2, neuro/glioblastoma derived oncogene homolog (avian)	EGFR
400	ErbB3	TK	EGFR		ERBB3	ERBB3	v-erb-b2 erythroblastic leukemia viral oncogene homolog 3 (avian)	EGFR
401	ErbB4	TK	EGFR		ERBB4	ERBB4	v-erb-a erythroblastic leukemia viral oncogene homolog 4 (avian)	EGFR
402	EphA2	TK	Eph		EPHA2	EPHA2	EPH receptor A2	Eph
403	EphA1	TK	Eph		EPHA1	EPHA1	EPH receptor A1	Eph
404	EphA3	TK	Eph		EPHA3	EPHA3	EPH receptor A3	Eph
405	EphA4	TK	Eph		EPHA4	EPHA4	EPH receptor A4	Eph
406	EphA5	TK	Eph		EPHA5	EPHA5	EPH receptor A5	Eph
407	EphA7	TK	Eph		EPHA7	EPHA7	EPH receptor A7	Eph
408	EphA8	TK	Eph		EPHA8	EPHA8	EPH receptor A8	Eph
409	EphB1	TK	Eph		EPHB1	EPHB1	EPH receptor B1	Eph
410	EphB2	TK	Eph		EPHB2	EPHB2	EPH receptor B2	Eph
411	EphB3	TK	Eph		EPHB3	EPHB3	EPH receptor B3	Eph
412	EphB4	TK	Eph		EPHB4	EPHB4	EPH receptor B4	Eph
413	EphB6	TK	Eph		EPHB6	EPHB6	EPH receptor B6	Eph
414	EphA10	TK	Eph		EPHA10	EPHA10	EPH receptor A10	Eph
415	EphA6	TK	Eph		EPHA6	EPHA6	EPH receptor A6	Eph
416	PYK2	TK	FAK		PTK2B	PTK2B	PTK2B protein tyrosine kinase 2 beta	FAK
417	FAK	TK	FAK		PTK2	PTK2	PTK2 protein tyrosine kinase 2	FAK
418	FER	TK	Fer		FER	FER	fer (fps/fes related) tyrosine kinase (phosphoprotein NCP94)	Fer
419	FES	TK	Fer		FES	FES	feline sarcoma oncogene	Fer
420	FGFR1	TK	FGFR		FGFR1	FGFR1	fibroblast growth factor receptor 1 (fms-related tyrosine kinase 2, Pfeiffer syndrome)	FGFR
421	FGFR3	TK	FGFR		FGFR3	FGFR3	fibroblast growth factor receptor 3 (achondroplasia, thanatophoric dwarfism)	FGFR
422	FGFR2	TK	FGFR		FGFR2	FGFR2	fibroblast growth factor receptor 2 (bacteria-expressed kinase, keratinocyte growth factor receptor, craniofacial dysostosis 1, Crouzon syndrome, Pfeiffer syndrome, Jackson-Weiss syndrome)	FGFR
423	FGFR4	TK	FGFR		FGFR4	FGFR4	fibroblast growth factor receptor 4	FGFR
424	IGF1R	TK	InsR		IGF1R	IGF1R	insulin-like growth factor 1 receptor	InsR
425	INSR	TK	InsR		INSR	INSR	insulin receptor	InsR
426	IRR	TK	InsR		INSRR	INSRR	insulin receptor-related receptor	InsR
427	JAK1	TK	JAK		JAK1	JAK1	Janus kinase 1 (a protein tyrosine kinase)	JAK
428	JAK2	TK	JAK		JAK2	JAK2	Janus kinase 2 (a protein tyrosine kinase)	JAK
429	JAK3	TK	JAK		JAK3	JAK3	Janus kinase 3 (a protein tyrosine kinase, leukocyte)	JAK
430	TYK2	TK	JAK		TYK2	TYK2	tyrosine kinase 2	JAK
431	LMR1	TK	Lmr		AATK	AATK	apoptosis-associated tyrosine kinase	Lmr
432	LMR2	TK	Lmr		LMTK2	LMTK2	lemur tyrosine kinase 2	Lmr
433	LMR3	TK	Lmr		LMTK3	LMTK3	lemur tyrosine kinase 3	Lmr
434	MET	TK	Met		MET	MET	met proto-oncogene (hepatocyte growth factor receptor)	Met
435	RON	TK	Met		MST1R	MST1R	macrophage stimulating 1 receptor (c-met-related tyrosine kinase)	Met
436	MUSK	TK	Musk		MUSK	MUSK	muscle, skeletal, receptor tyrosine kinase	Musk
437	FMS	TK	PDGFR		CSF1R	CSF1R	colony stimulating factor 1 receptor, formerly McDonough feline sarcoma viral (v-fms) oncogene homolog	PDGFR
438	FLT3	TK	PDGFR		FLT3	FLT3	fms-related tyrosine kinase 3	PDGFR
439	KIT	TK	PDGFR		KIT	KIT	v-kit Hardy-Zuckerman 4 feline sarcoma viral oncogene homolog	PDGFR
440	PDGFRa	TK	PDGFR		PDGFRA	PDGFRA	platelet-derived growth factor receptor, alpha polypeptide	PDGFR
441	PDGFRb	TK	PDGFR		PDGFRB	PDGFRB	platelet-derived growth factor receptor, beta polypeptide	PDGFR
442	RET	TK	Ret		RET	RET	ret proto-oncogene (multiple endocrine neoplasia and medullary thyroid carcinoma 1, Hirschsprung disease)	Ret
443	ROR1	TK	Ror		ROR1	ROR1	receptor tyrosine kinase-like orphan receptor 1	Ror
444	ROR2	TK	Ror		ROR2	ROR2	receptor tyrosine kinase-like orphan receptor 2	Ror
445	RYK	TK	Ryk		RYK	RYK	RYK receptor-like tyrosine kinase	Ryk
446	ROS	TK	Sev		ROS1	ROS1	v-ros UR2 sarcoma virus oncogene homolog 1 (avian)	Sev
447	FRK	TK	Src	Frk	FRK	FRK	fyn-related kinase	Src_Frk
448	FGR	TK	Src	SrcA	FGR	FGR	Gardner-Rasheed feline sarcoma viral (v-fgr) oncogene homolog	Src_SrcA
449	FYN	TK	Src	SrcA	FYN	FYN	FYN oncogene related to SRC, FGR, YES	Src_SrcA
450	SRC	TK	Src	SrcA	SRC	SRC	v-src sarcoma (Schmidt-Ruppin A-2) viral oncogene homolog (avian)	Src_SrcA
451	YES	TK	Src	SrcA	YES1	YES1	v-yes-1 Yamaguchi sarcoma viral oncogene homolog 1	Src_SrcA
452	BLK	TK	Src	SrcB	BLK	BLK	B lymphoid tyrosine kinase	Src_SrcB
453	HCK	TK	Src	SrcB	HCK	HCK	hemopoietic cell kinase	Src_SrcB
454	LCK	TK	Src	SrcB	LCK	LCK	lymphocyte-specific protein tyrosine kinase	Src_SrcB
455	LYN	TK	Src	SrcB	LYN	LYN	v-yes-1 Yamaguchi sarcoma viral related oncogene homolog	Src_SrcB
456	BRK	TK	Src	SRM	PTK6	PTK6	PTK6 protein tyrosine kinase 6	Src_SRM
457	SRM	TK	Src	SRM	SRMS	SRMS	src-related kinase lacking C-terminal regulatory tyrosine and N-terminal myristylation sites	Src_SRM
458	SYK	TK	Syk		SYK	SYK	spleen tyrosine kinase	Syk
459	ZAP70	TK	Syk		ZAP70	ZAP70	zeta-chain (TCR) associated protein kinase 70kDa	Syk
460	BMX	TK	Tec		BMX	BMX	BMX non-receptor tyrosine kinase	Tec
461	BTK	TK	Tec		BTK	BTK	Bruton agammaglobulinemia tyrosine kinase	Tec
462	ITK	TK	Tec		ITK	ITK	IL2-inducible T-cell kinase	Tec
463	TEC	TK	Tec		TEC	TEC	tec protein tyrosine kinase	Tec
464	TXK	TK	Tec		TXK	TXK	TXK tyrosine kinase	Tec
465	TIE2	TK	Tie		TEK	TEK	TEK tyrosine kinase, endothelial (venous malformations, multiple cutaneous and mucosal)	Tie
466	TIE1	TK	Tie		TIE1	TIE1	tyrosine kinase with immunoglobulin-like and EGF-like domains 1	Tie
467	SuRTK106	TK	TK-Unique		STYK1	STYK1	serine/threonine/tyrosine kinase 1	TK-Unique
468	TRKA	TK	Trk		NTRK1	NTRK1	neurotrophic tyrosine kinase, receptor, type 1	Trk
469	TRKB	TK	Trk		NTRK2	NTRK2	neurotrophic tyrosine kinase, receptor, type 2	Trk
470	TRKC	TK	Trk		NTRK3	NTRK3	neurotrophic tyrosine kinase, receptor, type 3	Trk
471	FLT1	TK	VEGFR		FLT1	FLT1	fms-related tyrosine kinase 1 (vascular endothelial growth factor/vascular permeability factor receptor)	VEGFR
472	FLT4	TK	VEGFR		FLT4	FLT4	fms-related tyrosine kinase 4	VEGFR
473	KDR	TK	VEGFR		KDR	KDR	kinase insert domain receptor (a type III receptor tyrosine kinase)	VEGFR
474	IRAK1	TKL	IRAK		IRAK1	IRAK1	interleukin-1 receptor-associated kinase 1	IRAK
475	IRAK2	TKL	IRAK		IRAK2	IRAK2	interleukin-1 receptor-associated kinase 2	IRAK
476	IRAK3	TKL	IRAK		IRAK3	IRAK3	interleukin-1 receptor-associated kinase 3	IRAK
477	IRAK4	TKL	IRAK		IRAK4	IRAK4	interleukin-1 receptor-associated kinase 4	IRAK
478	LIMK1	TKL	LISK	LIMK	LIMK1	LIMK1	LIM domain kinase 1	LISK_LIMK
479	LIMK2	TKL	LISK	LIMK	LIMK2	LIMK2	LIM domain kinase 2	LISK_LIMK
480	TESK1	TKL	LISK	TESK	TESK1	TESK1	testis-specific kinase 1	LISK_TESK
481	TESK2	TKL	LISK	TESK	TESK2	TESK2	testis-specific kinase 2	LISK_TESK
482	LRRK1	TKL	LRRK		LRRK1	LRRK1	leucine-rich repeat kinase 1	LRRK
483	LRRK2	TKL	LRRK		LRRK2	LRRK2	leucine-rich repeat kinase 2	LRRK
484	HH498	TKL	MLK	HH498	TNNI3K	FPGT-TNNI3K	TNNI3 interacting kinase	MLK_HH498
485	ILK	TKL	MLK	ILK	ILK	ILK	integrin-linked kinase	MLK_ILK
486	DLK	TKL	MLK	LZK	MAP3K12	MAP3K12	mitogen-activated protein kinase kinase kinase 12	MLK_LZK
487	LZK	TKL	MLK	LZK	MAP3K13	MAP3K13	mitogen-activated protein kinase kinase kinase 13	MLK_LZK
488	MLK1	TKL	MLK	MLK	MAP3K9	MAP3K9	mitogen-activated protein kinase kinase kinase 9	MLK_MLK
489	MLK2	TKL	MLK	MLK	MAP3K10	MAP3K10	mitogen-activated protein kinase kinase kinase 10	MLK_MLK
490	MLK3	TKL	MLK	MLK	MAP3K11	MAP3K11	mitogen-activated protein kinase kinase kinase 11	MLK_MLK
491	MLK4	TKL	MLK	MLK	KIAA1804	MLK4	mixed lineage kinase 4	MLK_MLK
492	TAK1	TKL	MLK	TAK1	MAP3K7	MAP3K7	mitogen-activated protein kinase kinase kinase 7	MLK_TAK1
493	ZAK	TKL	MLK	ZAK	ZAK	ZAK	sterile alpha motif and leucine zipper containing kinase AZK	MLK_ZAK
494	KSR1	TKL	RAF	KSR	KSR1	KSR1	kinase suppressor of ras 1	RAF_KSR
495	KSR2	TKL	RAF	KSR	KSR2	KSR2	kinase suppressor of ras 2	RAF_KSR
496	ARAF	TKL	RAF	RAF	ARAF	ARAF	v-raf murine sarcoma 3611 viral oncogene homolog	RAF_RAF
497	BRAF	TKL	RAF	RAF	BRAF	BRAF	v-raf murine sarcoma viral oncogene homolog B1	RAF_RAF
498	RAF1	TKL	RAF	RAF	RAF1	RAF1	v-raf-1 murine leukemia viral oncogene homolog 1	RAF_RAF
499	RIPK1	TKL	RIPK		RIPK1	RIPK1	receptor (TNFRSF)-interacting serine-threonine kinase 1	RIPK
